engine,elapsed_s,txn_index,success,latency_ms,error_message
tidb,2.43,427,1,4.040,
tidb,2.44,428,1,4.252,
tidb,2.44,429,1,4.890,
tidb,2.45,430,1,5.209,
tidb,2.45,431,1,4.718,
tidb,2.46,432,1,4.986,
tidb,2.46,433,1,5.306,
tidb,2.47,434,1,5.650,
tidb,2.47,435,1,5.774,
tidb,2.48,436,1,5.436,
tidb,2.49,437,1,4.388,
tidb,2.49,438,1,4.652,
tidb,2.49,439,1,5.384,
tidb,2.50,440,1,5.009,
tidb,2.50,441,1,5.497,
tidb,2.51,442,1,6.388,
tidb,2.52,443,1,4.701,
tidb,2.52,444,1,5.619,
tidb,2.53,445,1,4.252,
tidb,2.53,446,1,3.871,
tidb,2.54,447,1,4.212,
tidb,2.54,448,1,4.701,
tidb,2.54,449,1,4.993,
tidb,2.55,450,1,4.795,
tidb,2.55,451,1,4.785,
tidb,2.56,452,1,5.114,
tidb,2.56,453,1,5.169,
tidb,2.57,454,1,5.589,
tidb,2.57,455,1,5.780,
tidb,2.58,456,1,6.361,
tidb,2.59,457,1,6.342,
tidb,2.59,458,1,6.234,
tidb,2.60,459,1,6.833,
tidb,2.61,460,1,6.879,
tidb,2.61,461,1,6.667,
tidb,2.62,462,1,6.819,
tidb,2.63,463,1,4.634,
tidb,2.63,464,1,4.855,
tidb,2.64,465,1,3.671,
tidb,2.64,466,1,4.696,
tidb,2.65,467,1,5.421,
tidb,2.65,468,1,6.442,
tidb,2.66,469,1,6.803,
tidb,2.66,470,1,6.518,
tidb,2.67,471,1,6.927,
tidb,2.68,472,1,6.751,
tidb,2.68,473,1,6.984,
tidb,2.69,474,1,7.397,
tidb,2.70,475,1,5.982,
tidb,2.70,476,1,6.268,
tidb,2.71,477,1,6.695,
tidb,2.72,478,1,6.753,
tidb,2.72,479,1,7.439,
tidb,2.73,480,1,7.302,
tidb,2.74,481,1,7.858,
tidb,2.75,482,1,7.602,
tidb,2.75,483,1,7.107,
tidb,2.76,484,1,6.604,
tidb,2.77,485,1,5.886,
tidb,2.77,486,1,5.528,
tidb,2.78,487,1,3.827,
tidb,2.78,488,1,6.653,
tidb,2.79,489,1,5.744,
tidb,2.80,490,1,5.706,
tidb,2.80,491,1,4.779,
tidb,2.81,492,1,5.050,
tidb,2.81,493,1,5.320,
tidb,2.82,494,1,5.316,
tidb,2.82,495,1,6.744,
tidb,2.83,496,1,6.284,
tidb,2.84,497,1,5.799,
tidb,2.84,498,1,6.027,
tidb,2.85,499,1,6.559,
tidb,2.85,500,1,6.871,
tidb,2.86,501,1,6.835,
tidb,2.87,502,1,7.294,
tidb,2.88,503,1,7.192,
tidb,2.88,504,1,6.072,
tidb,2.89,505,1,7.018,
tidb,2.90,506,1,6.485,
tidb,2.90,507,1,6.661,
tidb,2.91,508,1,7.577,
tidb,2.92,509,1,6.992,
tidb,2.92,510,1,7.458,
tidb,2.93,511,1,7.460,
tidb,2.94,512,1,7.513,
tidb,2.95,513,1,6.954,
tidb,2.95,514,1,7.780,
tidb,2.96,515,1,7.626,
tidb,2.97,516,1,7.474,
tidb,2.98,517,1,7.673,
tidb,2.98,518,1,7.222,
tidb,2.99,519,1,7.204,
tidb,3.00,520,1,7.484,
tidb,3.01,521,1,7.795,
tidb,3.01,522,1,7.418,
tidb,3.02,523,1,6.930,
tidb,3.03,524,1,6.306,
tidb,3.04,525,1,6.161,
tidb,3.04,526,1,6.645,
tidb,3.05,527,1,6.133,
tidb,3.05,528,1,6.106,
tidb,3.06,529,1,7.056,
tidb,3.07,530,1,6.676,
tidb,3.07,531,1,7.316,
tidb,3.08,532,1,7.655,
tidb,3.09,533,1,5.933,
tidb,3.10,534,1,4.288,
tidb,3.10,535,1,4.387,
tidb,3.10,536,1,4.377,
tidb,3.11,537,1,3.911,
tidb,3.11,538,1,3.985,
tidb,3.12,539,1,4.144,
tidb,3.12,540,1,4.879,
tidb,3.13,541,1,4.678,
tidb,3.13,542,1,4.526,
tidb,3.13,543,1,5.695,
tidb,3.14,544,1,5.455,
tidb,3.15,545,1,4.808,
tidb,3.15,546,1,4.910,
tidb,3.16,547,1,8.650,
tidb,3.16,548,1,8.442,
tidb,3.17,549,1,5.158,
tidb,3.18,550,1,4.344,
tidb,3.18,551,1,4.403,
tidb,3.19,552,1,4.207,
tidb,3.19,553,1,4.534,
tidb,3.20,554,1,4.240,
tidb,3.20,555,1,4.291,
tidb,3.20,556,1,4.715,
tidb,3.21,557,1,4.413,
tidb,3.21,558,1,4.010,
tidb,3.22,559,1,3.917,
tidb,3.22,560,1,3.213,
tidb,3.22,561,1,4.260,
tidb,3.23,562,1,4.211,
tidb,3.23,563,1,4.208,
tidb,3.24,564,1,4.806,
tidb,3.24,565,1,4.277,
tidb,3.25,566,1,4.169,
tidb,3.25,567,1,4.873,
tidb,3.26,568,1,5.031,
tidb,3.26,569,1,5.714,
tidb,3.27,570,1,6.101,
tidb,3.27,571,1,6.462,
tidb,3.28,572,1,6.613,
tidb,3.29,573,1,5.792,
tidb,3.29,574,1,5.848,
tidb,3.30,575,1,5.433,
tidb,3.30,576,1,5.598,
tidb,3.31,577,1,5.656,
tidb,3.31,578,1,5.126,
tidb,3.32,579,1,4.116,
tidb,3.32,580,1,3.987,
tidb,3.33,581,1,4.154,
tidb,3.33,582,1,4.087,
tidb,3.34,583,1,4.495,
tidb,3.34,584,1,4.313,
tidb,3.34,585,1,4.684,
tidb,3.35,586,1,3.698,
tidb,3.35,587,1,4.021,
tidb,3.36,588,1,4.131,
tidb,3.36,589,1,3.549,
tidb,3.37,590,1,3.940,
tidb,3.37,591,1,4.197,
tidb,3.37,592,1,4.383,
tidb,3.38,593,1,4.806,
tidb,3.38,594,1,4.351,
tidb,3.39,595,1,4.439,
tidb,3.39,596,1,11.917,
tidb,3.40,597,1,6.894,
tidb,3.41,598,1,6.059,
tidb,3.42,599,1,9.002,
tidb,3.43,600,1,4.751,
tidb,3.43,601,1,4.326,
tidb,3.43,602,1,3.944,
tidb,3.44,603,1,4.701,
tidb,3.44,604,1,4.900,
tidb,3.45,605,1,4.208,
tidb,3.45,606,1,4.431,
tidb,3.46,607,1,4.629,
tidb,3.46,608,1,4.226,
tidb,3.47,609,1,5.097,
tidb,3.47,610,1,4.812,
tidb,3.48,611,1,5.234,
tidb,3.48,612,1,4.849,
tidb,3.49,613,1,4.808,
tidb,3.49,614,1,4.982,
tidb,3.50,615,1,15.322,
tidb,3.51,616,1,7.189,
tidb,3.52,617,1,6.529,
tidb,3.53,618,1,6.635,
tidb,3.53,619,1,5.919,
tidb,3.54,620,1,5.331,
tidb,3.54,621,1,5.924,
tidb,3.55,622,1,5.843,
tidb,3.55,623,1,6.321,
tidb,3.56,624,1,5.302,
tidb,3.57,625,1,4.926,
tidb,3.57,626,1,4.553,
tidb,3.58,627,1,5.296,
tidb,3.58,628,1,5.706,
tidb,3.59,629,1,5.977,
tidb,3.59,630,1,5.578,
tidb,3.60,631,1,6.340,
tidb,3.61,632,1,5.799,
tidb,3.61,633,1,6.433,
tidb,3.62,634,1,6.601,
tidb,3.62,635,1,6.383,
tidb,3.63,636,1,7.028,
tidb,3.64,637,1,7.305,
tidb,3.65,638,1,7.669,
tidb,3.65,639,1,6.660,
tidb,3.66,640,1,7.001,
tidb,3.67,641,1,6.603,
tidb,3.67,642,1,7.389,
tidb,3.68,643,1,7.289,
