engine,elapsed_s,txn_index,success,latency_ms,error_message
spanner,3.92,429,1,9.994,
spanner,3.93,430,1,11.982,
spanner,3.94,431,1,7.239,
spanner,3.94,432,1,7.249,
spanner,3.95,433,1,7.378,
spanner,3.96,434,1,8.187,
spanner,3.97,435,1,9.811,
spanner,3.98,436,1,10.240,
spanner,3.99,437,1,7.996,
spanner,4.00,438,1,9.723,
spanner,4.01,439,1,9.945,
spanner,4.02,440,1,8.477,
spanner,4.02,441,1,7.474,
spanner,4.03,442,1,7.334,
spanner,4.04,443,1,8.646,
spanner,4.05,444,1,9.593,
spanner,4.06,445,1,10.895,
spanner,4.07,446,1,11.889,
spanner,4.08,447,1,9.392,
spanner,4.09,448,1,10.140,
spanner,4.10,449,1,10.396,
spanner,4.11,450,1,10.592,
spanner,4.12,451,1,10.500,
spanner,4.13,452,1,8.986,
spanner,4.14,453,1,8.444,
spanner,4.15,454,1,9.133,
spanner,4.16,455,1,9.035,
spanner,4.17,456,1,8.277,
spanner,4.18,457,1,7.697,
spanner,4.18,458,1,10.218,
spanner,4.19,459,1,9.353,
spanner,4.20,460,1,8.718,
spanner,4.21,461,1,7.939,
spanner,4.22,462,1,8.566,
spanner,4.23,463,1,8.204,
spanner,4.24,464,1,8.425,
spanner,4.24,465,1,9.972,
spanner,4.25,466,1,11.059,
spanner,4.27,467,1,11.166,
spanner,4.28,468,1,12.247,
spanner,4.29,469,1,9.363,
spanner,4.30,470,1,7.899,
spanner,4.31,471,1,7.617,
spanner,4.31,472,1,7.644,
spanner,4.32,473,1,7.550,
spanner,4.33,474,1,8.113,
spanner,4.34,475,1,8.077,
spanner,4.35,476,1,8.397,
spanner,4.35,477,1,10.705,
spanner,4.36,478,1,10.356,
spanner,4.38,479,1,10.853,
spanner,4.39,480,1,11.385,
spanner,4.40,481,1,11.420,
spanner,4.41,482,1,15.937,
spanner,4.43,483,1,13.424,
spanner,4.44,484,1,12.630,
spanner,4.45,485,1,9.654,
spanner,4.46,486,1,8.229,
spanner,4.47,487,1,9.276,
spanner,4.48,488,1,8.890,
spanner,4.49,489,1,10.189,
spanner,4.50,490,1,9.064,
spanner,4.51,491,1,9.379,
spanner,4.52,492,1,12.051,
spanner,4.53,493,1,12.072,
spanner,4.54,494,1,11.051,
spanner,4.55,495,1,10.318,
spanner,4.56,496,1,9.919,
spanner,4.57,497,1,9.407,
spanner,4.58,498,1,9.464,
spanner,4.59,499,1,9.411,
spanner,4.60,500,1,9.269,
spanner,4.61,501,1,8.647,
spanner,4.62,502,1,12.768,
spanner,4.63,503,1,8.701,
spanner,4.64,504,1,9.040,
spanner,4.65,505,1,8.904,
spanner,4.66,506,1,8.847,
spanner,4.67,507,1,9.323,
spanner,4.68,508,1,8.264,
spanner,4.68,509,1,8.227,
spanner,4.69,510,1,9.199,
spanner,4.70,511,1,10.106,
spanner,4.71,512,1,9.658,
spanner,4.72,513,1,10.355,
spanner,4.73,514,1,11.573,
spanner,4.74,515,1,10.501,
spanner,4.75,516,1,12.012,
spanner,4.77,517,1,13.263,
spanner,4.78,518,1,12.220,
spanner,4.79,519,1,13.520,
spanner,4.81,520,1,12.907,
spanner,4.82,521,1,10.451,
spanner,4.83,522,1,11.935,
spanner,4.84,523,1,11.913,
spanner,4.85,524,1,12.451,
spanner,4.87,525,1,10.583,
spanner,4.88,526,1,8.603,
spanner,4.88,527,1,8.345,
spanner,4.89,528,1,8.806,
spanner,4.90,529,1,8.403,
spanner,4.91,530,1,8.408,
spanner,4.92,531,1,8.512,
spanner,4.93,532,1,8.835,
spanner,4.94,533,1,10.661,
spanner,4.95,534,1,11.118,
spanner,4.96,535,1,13.377,
spanner,4.97,536,1,14.078,
spanner,4.99,537,1,12.438,
spanner,5.00,538,1,11.998,
spanner,5.01,539,1,10.089,
spanner,5.02,540,1,9.798,
spanner,5.03,541,1,9.622,
spanner,5.04,542,1,12.021,
